aspiration,body-style,bore,city-mpg,compression-ratio,curb-weight,diesel,drive-wheels,engine-location,engine-size,engine-type,fuel-system,fuel-type,gas,height,highway-mpg,horsepower,length,make,normalized-losses,num-of-cylinders,num-of-doors,peak-rpm,price,price_binned,stroke,symboling,wheel-base,width
std,sedan,3.19,24.0,10.0,2337.0,,fwd,front,109.0,ohc,mpfi,gas,,54.3,30.0,102.0,0.37065347289061923,audi,164.0,four,four,5500.0,13950.0,Low,3.4,2.0,99.8,66.2
std,sedan,3.19,18.0,8.0,2824.0,,4wd,front,136.0,ohc,mpfi,gas,,54.3,22.0,115.0,0.37065347289061923,audi,164.0,five,four,5500.0,17450.0,Medium,3.4,2.0,99.4,66.4
std,sedan,3.19,19.0,8.5,2844.0,,fwd,front,136.0,ohc,mpfi,gas,,55.7,25.0,110.0,1.7647304858359034,audi,158.0,five,four,5500.0,17710.0,Medium,3.4,1.0,105.8,71.4
turbo,sedan,3.13,17.0,8.3,3086.0,,fwd,front,131.0,ohc,mpfi,gas,,55.9,20.0,140.0,1.7647304858359034,audi,158.0,five,four,5500.0,23875.0,Medium,3.4,1.0,105.8,71.4
std,sedan,3.5,23.0,8.8,2395.0,,rwd,front,108.0,ohc,mpfi,gas,,54.3,29.0,101.0,0.3879711997595062,bmw,192.0,four,two,5800.0,16430.0,Medium,2.8,2.0,101.2,64.8
std,sedan,3.5,23.0,8.8,2395.0,,rwd,front,108.0,ohc,mpfi,gas,,54.3,29.0,101.0,0.3879711997595062,bmw,192.0,four,four,5800.0,16925.0,Medium,2.8,0.0,101.2,64.8
std,sedan,3.31,21.0,9.0,2710.0,,rwd,front,164.0,ohc,mpfi,gas,,54.3,28.0,121.0,0.3879711997595062,bmw,188.0,six,two,4250.0,20970.0,Medium,3.19,0.0,101.2,64.8
std,sedan,3.31,21.0,9.0,2765.0,,rwd,front,164.0,ohc,mpfi,gas,,54.3,28.0,121.0,0.3879711997595062,bmw,188.0,six,four,4250.0,21105.0,Medium,3.19,0.0,101.2,64.8
std,hatchback,2.91,47.0,9.5,1488.0,,fwd,front,61.0,l,2bbl,gas,,53.2,53.0,48.0,-2.7032430463365613,chevrolet,121.0,three,two,5100.0,5151.0,Low,3.03,2.0,88.4,60.3
std,hatchback,3.03,38.0,9.6,1874.0,,fwd,front,90.0,ohc,2bbl,gas,,52.0,43.0,70.0,-1.4217312580390316,chevrolet,98.0,four,two,5400.0,6295.0,Low,3.11,1.0,94.5,63.6
std,sedan,3.03,38.0,9.6,1909.0,,fwd,front,90.0,ohc,2bbl,gas,,52.0,43.0,70.0,-1.170624218440191,chevrolet,81.0,four,four,5400.0,6575.0,Low,3.11,0.0,94.5,63.6
std,hatchback,2.97,37.0,9.41,1876.0,,fwd,front,90.0,ohc,2bbl,gas,,50.8,41.0,68.0,-1.3005071699568325,dodge,118.0,four,two,5500.0,5572.0,Low,3.23,1.0,93.7,63.8
